Candidate_ID,Location,Profile_Role,Core_Competency,Years_Experience,Estimated_Availability_Days,Data_Source
PFG-6737,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,2,21,Upwork API
PFG-4436,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,2,16,Local Job Board
PFG-4214,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",10,18,LinkedIn Scrape
PFG-6845,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",7,28,Upwork API
PFG-1186,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",3,45,LinkedIn Scrape
PFG-6528,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,5,37,Upwork API
PFG-8793,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",4,33,LinkedIn Scrape
PFG-8929,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",3,60,Local Job Board
PFG-1769,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",9,30,Upwork API
PFG-9048,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",9,30,Upwork API
PFG-6411,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,2,23,LinkedIn Scrape
PFG-6726,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",7,36,LinkedIn Scrape
PFG-7372,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",8,55,Local Job Board
PFG-6540,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",7,34,LinkedIn Scrape
PFG-9437,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",1,44,Upwork API
PFG-1410,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",7,58,Upwork API
PFG-3011,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,5,27,LinkedIn Scrape
PFG-1549,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",7,19,Local Job Board
PFG-7094,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",2,16,LinkedIn Scrape
PFG-2200,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",7,52,LinkedIn Scrape
PFG-6570,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",9,21,Local Job Board
PFG-2338,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",7,33,LinkedIn Scrape
PFG-6901,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",2,53,Upwork API
PFG-8201,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",5,47,Local Job Board
PFG-4692,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",4,22,Local Job Board
PFG-7251,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",7,45,Local Job Board
PFG-2199,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,10,40,Upwork API
PFG-1647,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",8,42,Upwork API
PFG-9577,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",6,25,LinkedIn Scrape
PFG-3167,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",7,19,LinkedIn Scrape
PFG-3920,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",4,22,LinkedIn Scrape
PFG-3468,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",6,53,Local Job Board
PFG-6756,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",4,20,LinkedIn Scrape
PFG-3649,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",4,36,Upwork API
PFG-1842,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,2,47,Local Job Board
PFG-8202,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",6,44,Local Job Board
PFG-9402,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",7,36,Local Job Board
PFG-1880,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",3,15,Upwork API
PFG-4212,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",7,44,Upwork API
PFG-2042,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,8,29,Local Job Board
PFG-2642,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,2,34,Upwork API
PFG-6055,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,10,16,Local Job Board
PFG-9368,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",10,32,Local Job Board
PFG-9071,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",7,44,LinkedIn Scrape
PFG-5137,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",5,26,Upwork API
PFG-9617,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",1,42,Local Job Board
PFG-5354,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,9,21,Upwork API
PFG-6616,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",10,54,Local Job Board
PFG-4885,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",3,60,Upwork API
PFG-5925,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",4,53,LinkedIn Scrape
PFG-1020,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,4,36,Local Job Board
PFG-2737,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",5,56,Upwork API
PFG-5070,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",1,35,LinkedIn Scrape
PFG-4349,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",5,19,Upwork API
PFG-8256,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,10,37,Upwork API
PFG-2865,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,10,55,LinkedIn Scrape
PFG-3502,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,7,33,LinkedIn Scrape
PFG-6567,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",1,29,Upwork API
PFG-2010,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",8,35,Upwork API
PFG-7851,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",8,56,Upwork API
PFG-4406,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",7,40,Local Job Board
PFG-2274,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",5,36,LinkedIn Scrape
PFG-7277,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",1,56,LinkedIn Scrape
PFG-8981,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",7,41,Upwork API
PFG-3498,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",9,24,Local Job Board
PFG-1310,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",4,49,LinkedIn Scrape
PFG-3066,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,7,17,Upwork API
PFG-5320,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",10,27,Local Job Board
PFG-8563,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",1,58,Local Job Board
PFG-6224,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",6,59,Upwork API
PFG-2282,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",9,49,Local Job Board
PFG-2596,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,9,34,Local Job Board
PFG-1662,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,9,21,LinkedIn Scrape
PFG-7349,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,6,28,Local Job Board
PFG-9709,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",8,16,Local Job Board
PFG-7307,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",2,18,Local Job Board
PFG-7873,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",5,23,LinkedIn Scrape
PFG-1867,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,3,44,Upwork API
PFG-7861,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,1,43,LinkedIn Scrape
PFG-5989,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",5,37,Upwork API
PFG-1949,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",6,32,Upwork API
PFG-9854,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",1,22,LinkedIn Scrape
PFG-6108,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",9,15,LinkedIn Scrape
PFG-5903,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",3,45,Local Job Board
PFG-1023,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",5,48,Local Job Board
PFG-2381,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,4,29,Local Job Board
PFG-3214,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",4,35,LinkedIn Scrape
PFG-5765,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",2,22,LinkedIn Scrape
PFG-1612,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",5,27,LinkedIn Scrape
PFG-5965,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",9,52,LinkedIn Scrape
PFG-2787,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",1,20,Local Job Board
PFG-3676,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,5,39,LinkedIn Scrape
PFG-6642,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",5,14,LinkedIn Scrape
PFG-5264,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",6,50,LinkedIn Scrape
PFG-2761,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,2,34,Upwork API
PFG-1367,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",5,16,Upwork API
PFG-8618,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",5,59,LinkedIn Scrape
PFG-4765,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,9,14,Local Job Board
PFG-3785,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",1,57,Local Job Board
PFG-2567,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",3,52,Local Job Board
PFG-8977,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",2,33,Local Job Board
PFG-4907,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",3,39,Local Job Board
PFG-5566,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",5,21,Upwork API
PFG-5916,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",3,20,LinkedIn Scrape
PFG-6440,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",8,21,LinkedIn Scrape
PFG-5206,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,8,28,LinkedIn Scrape
PFG-9349,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",10,17,Upwork API
PFG-2848,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,10,32,Local Job Board
PFG-6577,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",10,39,LinkedIn Scrape
PFG-4429,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",8,54,Local Job Board
PFG-7271,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,3,33,Upwork API
PFG-7240,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",7,31,Upwork API
PFG-4750,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",3,50,LinkedIn Scrape
PFG-6785,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",10,14,Upwork API
PFG-1923,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",8,36,LinkedIn Scrape
PFG-2957,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",9,60,Upwork API
PFG-4653,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,10,26,Local Job Board
PFG-4696,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",5,29,Upwork API
PFG-3048,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,9,26,Upwork API
PFG-8057,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",4,20,LinkedIn Scrape
PFG-7383,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",1,24,Local Job Board
PFG-2391,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,4,48,Upwork API
PFG-2627,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",1,34,LinkedIn Scrape
PFG-4694,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",8,22,LinkedIn Scrape
PFG-7497,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",7,54,LinkedIn Scrape
PFG-1507,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",9,33,LinkedIn Scrape
PFG-7794,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",9,27,Upwork API
PFG-5628,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",10,60,Local Job Board
PFG-2508,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",5,43,LinkedIn Scrape
PFG-6766,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",9,32,Upwork API
PFG-3405,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,6,49,Upwork API
PFG-2109,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",10,47,LinkedIn Scrape
PFG-2634,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",3,47,LinkedIn Scrape
PFG-3850,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",4,44,Upwork API
PFG-4593,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",1,57,Local Job Board
PFG-6740,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",10,26,Local Job Board
PFG-9496,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,9,21,Upwork API
PFG-2818,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",5,27,Local Job Board
PFG-8128,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",6,20,LinkedIn Scrape
PFG-6180,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",6,47,Local Job Board
PFG-2054,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",5,20,Local Job Board
PFG-1483,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",1,21,LinkedIn Scrape
PFG-4071,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",4,17,Upwork API
PFG-3078,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",5,37,LinkedIn Scrape
PFG-5317,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",2,29,Local Job Board
PFG-4221,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",4,48,LinkedIn Scrape
PFG-2726,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",3,20,LinkedIn Scrape
PFG-1835,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",4,58,LinkedIn Scrape
PFG-7356,"Kano, Nigeria",Field Data Engineer,"QField, KoboToolbox",9,28,LinkedIn Scrape
PFG-2344,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",2,53,LinkedIn Scrape
PFG-4109,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",5,30,Upwork API
PFG-8625,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",3,24,Upwork API
PFG-4897,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",6,60,Local Job Board
PFG-1078,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,9,41,LinkedIn Scrape
PFG-4744,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,6,22,Local Job Board
PFG-3062,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",8,21,Local Job Board
PFG-8448,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",5,15,Local Job Board
PFG-9662,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,4,46,LinkedIn Scrape
PFG-9051,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,10,38,Local Job Board
PFG-3707,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,2,16,LinkedIn Scrape
PFG-7608,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,7,49,Upwork API
PFG-2664,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",5,53,Upwork API
PFG-9084,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",2,46,LinkedIn Scrape
PFG-6396,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",5,48,Upwork API
PFG-7270,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",10,28,Local Job Board
PFG-4509,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",1,15,Upwork API
PFG-8004,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",1,60,Upwork API
PFG-7262,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",4,49,Local Job Board
PFG-1565,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,8,48,Upwork API
PFG-8949,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,9,58,Upwork API
PFG-8524,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",6,17,Local Job Board
PFG-3925,"Accra, Ghana",ESG Compliance Officer,Environmental Auditing,4,48,Local Job Board
PFG-2822,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",1,17,Upwork API
PFG-6375,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",10,39,LinkedIn Scrape
PFG-1727,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",7,56,Upwork API
PFG-1492,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",2,47,Upwork API
PFG-5169,"Kano, Nigeria",Community Engagement Lead,"Community Liaison, Local Dialect",5,18,Upwork API
PFG-2296,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,9,18,Upwork API
PFG-8914,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",10,34,Local Job Board
PFG-4178,"Gauteng, South Africa",Field Data Engineer,"QField, KoboToolbox",1,51,Local Job Board
PFG-8595,"Copperbelt, Zambia",Field Data Engineer,"QField, KoboToolbox",1,56,Upwork API
PFG-3775,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",9,15,LinkedIn Scrape
PFG-9502,"Nairobi, Kenya",Site Surveyor,"Solar PV Sizing, AutoCAD",8,18,Local Job Board
PFG-4642,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,5,45,LinkedIn Scrape
PFG-5610,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",6,22,LinkedIn Scrape
PFG-2591,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",4,15,Upwork API
PFG-3763,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,4,55,Upwork API
PFG-1424,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",10,27,Upwork API
PFG-5632,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",10,46,Local Job Board
PFG-4918,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",5,52,Local Job Board
PFG-7101,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,2,30,Local Job Board
PFG-1416,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,1,25,Local Job Board
PFG-5731,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",10,39,LinkedIn Scrape
PFG-1318,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",8,50,Local Job Board
PFG-2637,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,10,58,Upwork API
PFG-3451,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,4,45,Upwork API
PFG-4954,"Copperbelt, Zambia",ESG Compliance Officer,Environmental Auditing,9,51,Local Job Board
PFG-4924,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",4,53,Local Job Board
PFG-1422,"Accra, Ghana",Community Engagement Lead,"Community Liaison, Local Dialect",9,18,LinkedIn Scrape
PFG-6038,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",2,24,LinkedIn Scrape
PFG-7793,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,1,23,Upwork API
PFG-5920,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,8,30,Upwork API
PFG-5094,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,5,15,LinkedIn Scrape
PFG-5739,"Gauteng, South Africa",ESG Compliance Officer,Environmental Auditing,9,47,Upwork API
PFG-6870,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",3,37,Upwork API
PFG-1825,"Nairobi, Kenya",ESG Compliance Officer,Environmental Auditing,3,41,LinkedIn Scrape
PFG-4529,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",10,54,Upwork API
PFG-9818,"Gauteng, South Africa",Site Surveyor,"Solar PV Sizing, AutoCAD",6,50,LinkedIn Scrape
PFG-5500,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",7,47,LinkedIn Scrape
PFG-3385,"Accra, Ghana",Site Surveyor,"Solar PV Sizing, AutoCAD",2,16,Upwork API
PFG-8220,"Gauteng, South Africa",Community Engagement Lead,"Community Liaison, Local Dialect",3,18,Local Job Board
PFG-4124,"Accra, Ghana",Field Data Engineer,"QField, KoboToolbox",3,57,Upwork API
PFG-4027,"Nairobi, Kenya",Community Engagement Lead,"Community Liaison, Local Dialect",9,36,Upwork API
PFG-5789,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",2,39,Upwork API
PFG-5306,"Nairobi, Kenya",Field Data Engineer,"QField, KoboToolbox",3,24,LinkedIn Scrape
PFG-4039,"Kano, Nigeria",Site Surveyor,"Solar PV Sizing, AutoCAD",5,39,Upwork API
PFG-8164,"Copperbelt, Zambia",Site Surveyor,"Solar PV Sizing, AutoCAD",3,34,Local Job Board
PFG-6250,"Copperbelt, Zambia",Community Engagement Lead,"Community Liaison, Local Dialect",5,33,Local Job Board
PFG-2111,"Kano, Nigeria",ESG Compliance Officer,Environmental Auditing,6,36,LinkedIn Scrape
